2021-11-07 08:49:07.521243,35210
2021-11-07 08:49:09.648172,35164
2021-11-07 08:49:11.790872,35218
2021-11-07 08:49:13.929402,35171
2021-11-07 08:49:16.033140,35154
2021-11-07 08:49:18.162101,35076
2021-11-07 08:49:20.262139,35073
2021-11-07 08:49:22.414389,35030
2021-11-07 08:49:24.547728,35104
2021-11-07 08:49:26.697771,35084
2021-11-07 08:49:28.797539,35015
2021-11-07 08:49:30.899898,35045
2021-11-07 08:49:33.045221,35085
2021-11-07 08:49:35.152282,35033
2021-11-07 08:49:37.265788,35079
2021-11-07 08:49:39.395329,35091
2021-11-07 08:49:41.503839,35071
2021-11-07 08:49:43.671125,35070
2021-11-07 08:49:45.834796,35039
